,Natalitate,Spor Natural,Mortalitate,Nuptialitate,Populatie(>500000)
Alba,-0.5743131988287149,-0.00036570532343727243,-0.5479957891124254,-0.538262713590459,-0.9088932591463857
Arad,-0.27229424469306734,-0.732206593754928,0.009243035731923444,-0.21298454188383537,-0.9088932591463857
Arges,0.26841710867881785,-0.4494088183486853,0.42136066483313733,0.33584698392523915,1.1002392084403618
Bacau,1.0279878193678946,0.7224401104113684,0.7155880777128114,0.737921361807345,1.1002392084403618
Bihor,0.4580488252732049,-0.22714603001023254,0.5206541145521244,0.6297633541570585,1.1002392084403618
Bistrita-Nasaud,-0.6066723724861057,0.9103696225024178,-0.9136215019572573,-0.8036318029926489,-0.9088932591463857
Botosani,-0.1428575500635041,-0.08348837413293993,-0.10565841444456325,-0.5044884658483622,-0.9088932591463857
Brasov,0.2931214240516646,-0.6807066793838231,-0.06614028562663864,0.5449256604239342,-0.9088932591463857
Braila,-0.7228870391696384,0.9410888696711471,-0.4397360412582789,-0.7224127786604635,1.1002392084403618
Buzau,-0.13520269177896002,-0.7141364483615579,0.13344286915968653,-0.08914563349614675,1.1002392084403618
Caras-Severin,-0.7949122966651211,0.04119562908131405,-0.5742305132856694,-0.6351626386600465,-0.9088932591463857
Calarasi,-0.5847516419440023,-0.5018122399894587,-0.5732342579373184,-0.5583664324845643,-0.9088932591463857
Cluj,0.4051607134890823,-0.603908561462,0.608656670323133,0.2988561411600854,1.1002392084403618
Constanta,0.955614613768569,1.2256936596167267,0.46154296388329596,0.980774286048137,1.1002392084403618
Covasna,-0.9320038495792284,0.7712295029734677,-1.172979977644645,-0.8603242902740258,-0.9088932591463857
Dambovita,-0.08057483947562286,-0.40332994759559143,0.07134295244580499,0.07409656392398824,1.1002392084403618
Dolj,0.41316351987746924,-2.2799145466970807,1.2323125183908845,1.2545869373858511,1.1002392084403618
Galati,0.1974356954948638,0.009572874642916306,0.18491606215782364,0.34831128963958446,1.1002392084403618
Giurgiu,-0.8679813984721326,-0.8577941042388505,-0.513126851920139,-0.769857555250552,-0.9088932591463857
Gorj,-0.6018010990323049,0.20744096670031936,-0.6506100899925825,-0.53464404418952,-0.9088932591463857
Harghita,-0.5151620211754199,0.8281504609625837,-0.7960633708518345,-0.8454475382923878,-0.9088932591463857
Hunedoara,-0.3812020011958988,-0.5722858070236022,-0.15347867116541322,-0.3979387557096041,1.1002392084403618
Ialomita,-0.6195464523282935,0.49204575664589906,-0.7721532424914096,-0.5788722257565517,-0.9088932591463857
Iasi,1.8227012885451057,2.9550065737622493,0.6534881609989298,1.1564807891826172,1.1002392084403618
Ilfov,-0.5997134104092475,0.7070804868270038,-0.832260648508589,-0.7200003323931708,-0.9088932591463857
Maramures,0.05930029826922776,0.6881068341639651,-0.19631765114450797,-0.1289509969064752,1.1002392084403618
Mehedinti,-0.9347874344099717,-0.7737679281596793,-0.6077711100134878,-0.5310253747885811,-0.9088932591463857
Mures,0.41559915660436964,-1.357433624365535,0.3054629593082996,0.5232136440183005,1.1002392084403618
Neamt,0.14941885716454195,0.24809879383540218,0.04178737711139078,0.060828109453878745,1.1002392084403618
Olt,-0.4720164562988988,0.27430050465578887,0.14838669938495214,-0.16875636031680372,-0.9088932591463857
Prahova,0.8550576117579675,-1.6293893125357555,1.1997681770114172,0.7210342379362966,1.1002392084403618
Satu Mare,-0.4139091229571325,-1.043916601790563,-0.48855255332747993,-0.4236715158940588,-0.9088932591463857
Salaj,-0.9041680012717955,0.22460760482402098,-0.9455016731044906,-0.9286769345139838,-0.9088932591463857
Sibiu,-0.2507214622548068,0.2544233447230817,-0.537701150512798,-0.1956953436349048,-0.9088932591463857
Suceava,1.113583052913251,0.8118873301085505,0.4764867941085616,0.46571700798115934,1.1002392084403618
Teleorman,-0.7288021569349679,1.5952281329111462,0.26362023467755585,-0.29540978934966705,-0.9088932591463857
Timis,0.4796216077114654,-2.6096947001260857,0.5077027950235609,0.3068976287177275,1.1002392084403618
Tulcea,-0.9330476938907571,-0.13589179577371333,-1.030847547946563,-1.0155250001365186,-0.9088932591463857
Vaslui,0.12819402283012432,0.3818178697463412,-0.28863731342503773,-0.13618833570835312,-0.9088932591463857
Valcea,-0.5419540251713242,-0.24973371175194523,-0.4254563812652474,-0.5583664324845643,-0.9088932591463857
Vrancea,-0.3439715540847072,1.1181762945261744,-0.5114664263395539,-0.4405586397651073,-0.9088932591463857
Municipiul Bucuresti,4.912828398774007,0.49837030753357864,5.187778336460633,5.15511047722016,1.1002392084403618
